title,Ratings,Counts,Preference Ratio
L.A. Confidential (1997),4.06361932847971,32553,6.130613300492927
Ocean's Eleven (2001),3.804077298154297,33429,6.103422465966355
Rain Man (1988),3.9105756890545744,32726,6.056087015758731
"Clockwork Orange, A (1971)",3.9813324700949564,32436,6.054785332649751
Willy Wonka & the Chocolate Factory (1971),3.7018796204842714,33411,6.030922390178157
"Shining, The (1980)",4.017056242024339,32129,6.026787015913219
Casablanca (1942),4.210098086509085,31095,5.9818950381475045
Minority Report (2002),3.6784368121098816,33163,5.9727703173850575
Batman Begins (2005),3.9344303244137757,32027,5.953282585022387
Trainspotting (1996),4.008511650023776,31545,5.921549734205542
2001: A Space Odyssey (1968),3.974154943026291,31418,5.876583985176882
"Incredibles, The (2004)",3.855337916313526,31857,5.870601213415834
GoldenEye (1995),3.431632714743396,33086,5.791976051597981
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",3.8545029464514475,31224,5.762259277332329
"Bourne Identity, The (2002)",3.908214911426903,30822,5.730307833528474
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.208876000542667,29484,5.706775715801237
Spider-Man (2002),3.4890077335661718,32068,5.657633151472453
Ghost (1990),3.444582427817448,32210,5.6516265356538575
Sleepless in Seattle (1993),3.5154209284028326,31775,5.625692661159429
"Big Lebowski, The (1998)",3.961030028518705,29805,5.593037093998571
Apocalypse Now (1979),4.107086179534948,28986,5.552827902362625
Interview with the Vampire: The Vampire Chronicles (1994),3.5052233084147977,31302,5.538231145482783
Home Alone (1990),3.1340491172337956,32738,5.530540569434121
Kill Bill: Vol. 2 (2004),3.82107369123041,29990,5.529445736950016
Toy Story 2 (1999),3.8099765258215963,29820,5.4929618581033495
Ferris Bueller's Day Off (1986),3.9207508532423208,29300,5.479689172069631
Four Weddings and a Funeral (1994),3.644628919169202,30236,5.451449184689214
Donnie Darko (2001),3.9627364900177695,28701,5.40622935959953
Catch Me If You Can (2002),3.914594763525245,28798,5.390036019999869
WALL·E (2008),4.007344572485418,28116,5.336934936845444
Heat (1995),3.8442108566049575,28683,5.322635704505584
Full Metal Jacket (1987),4.039537559782804,27809,5.306537725847829
Life Is Beautiful (La Vita è bella) (1997),4.163178366364141,26995,5.251950346976398
Star Trek: Generations (1994),3.343942368482348,30053,5.215998401885139
"Wizard of Oz, The (1939)",3.9447076833357633,27436,5.178601166446981
"Breakfast Club, The (1985)",3.827884132788413,27894,5.177207748864773
Dead Poets Society (1989),3.917619845548594,27452,5.162921243464062
Clueless (1995),3.416287132078037,29422,5.157716938042512
There's Something About Mary (1998),3.522854558736564,28747,5.115195674879704
Snatch (2000),4.065155167219042,26552,5.109925966014248
Waterworld (1995),2.864803577131907,31310,5.104477698607886
V for Vendetta (2006),3.913287332570754,27101,5.1002163443614945
Outbreak (1995),3.4201166080176635,28986,5.086085369352617
"Departed, The (2006)",4.119620059628469,26162,5.080529199109675
Shakespeare in Love (1998),3.802311969563945,27336,5.064828315820318
Clerks (1994),3.8509450171821307,26772,5.001844006606043
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),3.6748924691988045,27434,4.994942138844853
Iron Man (2008),3.848193538715239,26682,4.98465118206539
Up (2009),3.973415445817236,26143,4.9779595639055785
Cast Away (2000),3.651608019791013,27083,4.919360869111744
"Firm, The (1993)",3.5012111352133046,27660,4.915417926527224
Jaws (1975),3.784997169277222,26495,4.909875514033736
Office Space (1999),3.9763930076478853,25628,4.89229863832221
Indiana Jones and the Temple of Doom (1984),3.691395157674488,26764,4.892080173214967
American Pie (1999),3.296788326325831,28303,4.886005725504489
Austin Powers: The Spy Who Shagged Me (1999),3.1907017238377153,28715,4.884075266947278
As Good as It Gets (1997),3.780665754673963,26316,4.876456097177982
When Harry Met Sally... (1989),3.8305726364335126,26020,4.8599669643558
Crimson Tide (1995),3.7451930384556924,26316,4.8523551382608465
Edward Scissorhands (1990),3.7210315056043624,26408,4.851603179541052
Monty Python's Life of Brian (1979),3.978787518337893,25221,4.8246296647562925
Stand by Me (1986),3.9863627314353973,25115,4.811728864565888
"O Brother, Where Art Thou? (2000)",3.8708346493998738,25328,4.7695018945716035
Psycho (1960),4.061855244697532,24234,4.713021029202549
Austin Powers: International Man of Mystery (1997),3.3979428016726403,26784,4.696107263383201
"Hunt for Red October, The (1990)",3.8581167789541224,24936,4.69411913174285
Sense and Sensibility (1995),3.9501262626262625,24552,4.691252562682573
Jerry Maguire (1996),3.603809303044352,25884,4.682743497569483
Jumanji (1995),3.246582912721512,27143,4.654393333768898
"Birdcage, The (1996)",3.5209477362620483,26041,4.653176325419334
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.2076678004047015,23227,4.640637435977095
Avatar (2009),3.6492513852320507,25447,4.639214206684464
Amadeus (1984),4.064267081790643,23768,4.635318482099729
While You Were Sleeping (1995),3.5079741130243844,25959,4.630400427221051
Get Shorty (1995),3.5683684190046305,25699,4.627166048953556
Cliffhanger (1993),3.0671806566040467,27627,4.61490930263597
"Bug's Life, A (1998)",3.575721954468869,25521,4.601855909315702
Gattaca (1997),3.7868117536781187,24537,4.5777391213842025
Dead Man Walking (1995),3.928762262575663,23955,4.575092106446735
Back to the Future Part II (1989),3.5272631125386815,25529,4.5702939661039155
Leaving Las Vegas (1995),3.6667605973994606,24841,4.5479327417717075
Contact (1997),3.67256530151564,24808,4.546258004858554
"Prestige, The (2006)",4.0875410686494895,23132,4.542845931606017
Interstellar (2014),4.092868593215199,23081,4.537782306531944
Natural Born Killers (1994),3.2534547381971,26413,4.534772338256348
Requiem for a Dream (2000),4.00025641025641,23400,4.529172482139208
"Net, The (1995)",3.1189419094877437,26803,4.509782742067234
Rear Window (1954),4.230798598634567,22264,4.492392549524756
"Nightmare Before Christmas, The (1993)",3.7366785447915802,24134,4.475062677512297
Inglourious Basterds (2009),4.000520607375271,23050,4.469760951056051
Total Recall (1990),3.5996622309038377,24573,4.456714901903605
Armageddon (1998),2.998489820269968,26818,4.430498792763475
Who Framed Roger Rabbit? (1988),3.5288718696814976,24678,4.4264956526891135
Sin City (2005),3.787954564719844,23594,4.417960305188004
Harry Potter and the Prisoner of Azkaban (2004),3.802976672779223,23449,4.4034789488154535
Back to the Future Part III (1990),3.3126766731695665,25117,4.354351968543611
Mr. Holland's Opus (1995),3.7467143285243374,23359,4.349929642012735
"Blues Brothers, The (1980)",3.794355187008724,23154,4.3473945906170695
City of God (Cidade de Deus) (2002),4.184896558122275,21558,4.341002048173118
Broken Arrow (1996),3.1095484969242078,25847,4.340631998057817
Almost Famous (2000),3.8279084049833303,22796,4.309238286106191
Airplane! (1980),3.787632990415897,22746,4.2733612615770955
"Matrix Reloaded, The (2003)",3.3381758824729646,24505,4.267477526312699
Citizen Kane (1941),4.088136853849014,21512,4.267429370861342
Beetlejuice (1988),3.4787443870913592,23829,4.24788709793806
Philadelphia (1993),3.803903717191455,22517,4.245426396954741
Big (1988),3.6098998359381747,23162,4.223433569209585
Harry Potter and the Chamber of Secrets (2002),3.6355186974881373,22971,4.208319920528058
"Bourne Ultimatum, The (2007)",3.935553812796974,21677,4.191853946247744
"Fish Called Wanda, A (1988)",3.8304961970300617,22088,4.1904523442522414
Star Trek: First Contact (1996),3.6637693402098526,22492,4.145959456227409
Top Gun (1986),3.413148242920505,23448,4.138450511103801
Run Lola Run (Lola rennt) (1998),3.9743298822862005,21153,4.12898298875582
"Lock, Stock & Two Smoking Barrels (1998)",4.018591373602648,20843,4.106274609760678
"Graduate, The (1967)",4.033776301218162,20769,4.103992343245066
"Bourne Supremacy, The (2004)",3.8576784291672523,21339,4.081395752744998
Lost in Translation (2003),3.793013870204574,21557,4.074577901466978
Casino Royale (2006),3.8209415281150756,21412,4.068864865085801
Quiz Show (1994),3.6607282065391846,21807,4.027265078143339
Django Unchained (2012),4.002054492980482,20443,4.026935045028602
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",3.9825442488663514,20509,4.024916513771058
North by Northwest (1959),4.201091113037271,19613,4.020849111187328
"Game, The (1997)",3.8553083007719433,20986,4.0196836215507545
Casino (1995),3.8023623907394284,21165,4.01418753953588
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.120419644214688,19731,3.986129797081758
X2: X-Men United (2003),3.61329658007849,21404,3.9264241499577954
Happy Gilmore (1996),3.3942778801636178,22247,3.9211471918295286
Spider-Man 2 (2004),3.4534539997271363,21989,3.9174256705770985
Chinatown (1974),4.1524313561098305,19084,3.8977209919093365
Lethal Weapon (1987),3.6899545563262377,20905,3.8935475117886753
"Dark Knight Rises, The (2012)",3.9778550048196437,19711,3.885862982033891
Face/Off (1997),3.3286637931034484,22272,3.880824011929431
Little Miss Sunshine (2006),3.873415510529993,20038,3.870579497824804
Shrek 2 (2004),3.487553886802948,21573,3.8697656999224987
Annie Hall (1977),4.03722552312064,19355,3.8655880505347477
Ace Ventura: When Nature Calls (1995),2.6420142094488823,24913,3.8639557913164504
Shaun of the Dead (2004),3.876825779250113,19923,3.8533166001840007
Meet the Parents (2000),3.405881543331651,21797,3.8524139389869116
Slumdog Millionaire (2008),3.8478706388083577,20006,3.847775416128337
In the Line of Fire (1993),3.719738008470403,20306,3.8117972614313738
Ratatouille (2007),3.816441953239408,19803,3.7918592634588375
Liar Liar (1997),3.2284513913986266,22136,3.7895820861867238
Traffic (2000),3.7985691253526803,19848,3.7873777675553857
Snow White and the Seven Dwarfs (1937),3.5737629736905623,20715,3.782254927150128
Star Wars: Episode II - Attack of the Clones (2002),3.0685037285443233,22663,3.770637126006128
12 Angry Men (1957),4.237075455914338,17931,3.75892020439729
Chicken Run (2000),3.500407986944418,20834,3.75267685514117
"South Park: Bigger, Longer and Uncut (1999)",3.6145961358831915,20341,3.7463206185153872
Erin Brockovich (2000),3.5792971057294745,20316,3.71808116348201
What's Eating Gilbert Grape (1993),3.7492741812254877,19633,3.7172797570336833
This Is Spinal Tap (1984),4.006153598108239,18607,3.7171225383332853
Dave (1993),3.596739883249233,20214,3.7125656482238965
To Kill a Mockingbird (1962),4.153380031131865,17988,3.7117604811270843
No Country for Old Men (2007),4.006856340765535,18523,3.7032981496471478
Harry Potter and the Goblet of Fire (2005),3.7685786435786435,19404,3.691406080397929
"Sting, The (1973)",4.141628504411929,17906,3.6898149027099336
"Mummy, The (1999)",3.1914869100294987,21696,3.689553147675789
Shutter Island (2010),3.9619769818220933,18594,3.6848945733062966
Platoon (1986),3.9017529880478086,18825,3.6833071228105823
Vertigo (1958),4.119519134218454,17926,3.6781985026300887
"Pianist, The (2002)",4.044456038222857,18209,3.6753825581335757
High Fidelity (2000),3.8092786199686355,19130,3.6724072916364956
"Blair Witch Project, The (1999)",2.8910428100987926,22775,3.6691353286489177
"American President, The (1995)",3.660277594183741,19669,3.662942843287731
"Abyss, The (1989)",3.6680689513646625,19492,3.638100429635817
Juno (2007),3.749986932204276,19131,3.632293449374727
Dogma (1999),3.621399806290462,19617,3.6276748774786296
300 (2007),3.582206694009823,19749,3.623520530311054
Butch Cassidy and the Sundance Kid (1969),4.031169413611392,17838,3.6031888329214765
"Nutty Professor, The (1996)",2.847291953614431,22507,3.593780310678537
Wallace & Gromit: The Wrong Trousers (1993),4.1275307146565146,17337,3.583358555304626
It's a Wonderful Life (1946),4.016826111423748,17770,3.5818659854291006
Big Fish (2003),3.8046832992794926,18598,3.5787067582580963
"Few Good Men, A (1992)",3.813521385038563,18541,3.5750067266296925
Young Frankenstein (1974),3.9623610643314247,17814,3.5523526550797744
"Untouchables, The (1987)",3.872171758876961,18165,3.5508373109736575
Gone with the Wind (1939),3.817787596138112,18333,3.5424911867931552
District 9 (2009),3.8065515350877193,18240,3.5190229662894397
Ice Age (2002),3.5534450457951707,19216,3.5132305919598377
"Piano, The (1993)",3.6844782352626226,18677,3.510487289364132
Rocky (1976),3.7262240034662044,18464,3.502584900683622
Star Wars: Episode III - Revenge of the Sith (2005),3.398517761308459,19565,3.4673902928860647
Brazil (1985),4.008366604039455,17032,3.450466457804359
Mission: Impossible II (2000),2.9764627722678307,21073,3.4373888884003354
Scream (1996),3.2725257004636163,19844,3.429291027155735
Demolition Man (1993),3.0516875090531603,20711,3.4268641079317503
"Avengers, The (2012)",3.7990112994350285,17700,3.421959510897979
Raising Arizona (1987),3.8690998268897867,17330,3.406582993880957
Predator (1987),3.6466512702078524,18186,3.401189095354755
Star Trek II: The Wrath of Khan (1982),3.685003328894807,18024,3.3996642090607994
Enemy of the State (1998),3.5568557343301372,18459,3.386660999880151
Addams Family Values (1993),3.008339393939394,20625,3.38277005839645
True Romance (1993),3.804050166839259,17382,3.371240320858673
Maverick (1994),3.4052178959586366,18954,3.3679135978367762
Unforgiven (1992),3.985084501112648,16627,3.3656927373040397
"English Patient, The (1996)",3.636477184412124,18014,3.364991857312502
"Full Monty, The (1997)",3.7027694228477386,17621,3.343120074261786
Ed Wood (1994),3.658249253142438,17741,3.3333032836988705
"Sound of Music, The (1965)",3.800950215693133,17154,3.3303148433384577
"Boot, Das (Boat, The) (1981)",4.105923694779117,15936,3.3301438712209
The Martian (2015),4.043811881188119,16160,3.3260819729544613
Grease (1978),3.3072285998846778,19077,3.322279463988183
Starship Troopers (1997),3.261956691073376,19257,3.3221675305946774
28 Days Later (2002),3.7517535215349835,17251,3.3134047350478477
Die Hard 2 (1990),3.4409177301113223,18415,3.300398675674748
Legends of the Fall (1994),3.50181718061674,18160,3.2983588043908534
"Crow, The (1994)",3.5139848543474654,18091,3.2948778483850814
Rushmore (1998),3.8369513358778624,16768,3.2890544158838435
Star Trek (2009),3.8523333133648836,16693,3.286735769377069
"Royal Tenenbaums, The (2001)",3.7713829409677038,16906,3.2680016707579167
The Imitation Game (2014),4.017623774817793,15916,3.2667457235080826
Mars Attacks! (1996),2.963641796991732,20078,3.2592692377919326
"Matrix Revolutions, The (2003)",3.203867721817515,19081,3.2527348058087817
Close Encounters of the Third Kind (1977),3.7723942823108993,16790,3.248938627965447
Mary Poppins (1964),3.7155076127211806,17011,3.2479160294347995
Lawrence of Arabia (1962),4.113104119364255,15415,3.2463169042895297
Eraser (1996),3.1722402767585702,19078,3.2307356300733003
"I, Robot (2004)",3.4722097714029583,17848,3.2251217175904
Eyes Wide Shut (1999),3.245404018811458,18712,3.2181295231914233
"Exorcist, The (1973)",3.7338507462686565,16750,3.215940881475277
Unbreakable (2000),3.4850851471749182,17734,3.2144598860400024
Charlie's Angels (2000),2.7629111402613806,20583,3.208869674919341
Seven Samurai (Shichinin no samurai) (1954),4.2541157909178215,14578,3.1996156985051014
"Last Samurai, The (2003)",3.671908763505402,16660,3.158532700897229
Scarface (1983),3.9358530486632044,15597,3.156875888702138
My Cousin Vinny (1992),3.5762856303261827,17015,3.154006532746551
Guardians of the Galaxy (2014),3.9325799409271864,15574,3.15073608376517
"Little Mermaid, The (1989)",3.5198908182821302,17219,3.150423691682868
Tombstone (1993),3.6958769155923132,16444,3.138041020863736
"Hangover, The (2009)",3.620625710354729,16717,3.133394669800193
The Butterfly Effect (2004),3.7113572390160323,16342,3.131192170282373
Sling Blade (1996),3.9762185534591197,15264,3.1276045069550213
Grosse Pointe Blank (1997),3.7229812900049235,16248,3.1230853624707855
"Maltese Falcon, The (1941)",4.132430579362358,14585,3.1181318574873043
Superman (1978),3.3795726495726495,17550,3.1114444718221814
Galaxy Quest (1999),3.5861305570513973,16713,3.109276848678715
"Bridge on the River Kwai, The (1957)",4.082919529283722,14701,3.1042431105004544
Children of Men (2006),3.8904589058854033,15428,3.097260134372844
Desperado (1995),3.4313217219083123,17167,3.0813943365045655
Boogie Nights (1997),3.683107313146325,16149,3.0791383391695057
"Patriot, The (2000)",3.4604303857008465,17008,3.074100060703896
Much Ado About Nothing (1993),3.870203895511693,15351,3.0703883989251657
"Client, The (1994)",3.465123820754717,16960,3.0691164012740915
"Christmas Story, A (1983)",3.988077546609025,14804,3.0573421300987236
Chasing Amy (1997),3.6037423312883434,16300,3.0509252646744076
"King's Speech, The (2010)",3.9306223290598292,14976,3.0475905027797427
Pirates of the Caribbean: Dead Man's Chest (2006),3.4690139169739505,16814,3.04690144631561
Election (1999),3.7576566722429545,15542,3.0264409691816043
Million Dollar Baby (2004),3.831281679942071,15191,3.0167021579183837
Sleepy Hollow (1999),3.531003967043027,16385,3.0159772966608953
Ransom (1996),3.4502603699048304,16707,3.0159420359208546
RoboCop (1987),3.336251678048211,17133,3.0110127734854992
"Santa Clause, The (1994)",3.1316038787338387,17944,3.010051404535759
"Truth About Cats & Dogs, The (1996)",3.399543108051979,16853,3.0063415643921907
Air Force One (1997),3.321870982821082,17114,2.9980072648778036
Princess Mononoke (Mononoke-hime) (1997),4.124125495852867,13865,2.989901930579249
Toy Story 3 (2010),3.870089616602655,14841,2.9834781078697197
Wallace & Gromit: A Close Shave (1995),4.109151882302034,13866,2.979898781824415
Bridget Jones's Diary (2001),3.401691966160677,16667,2.976133169494258
"Wolf of Wall Street, The (2013)",3.8691347979387034,14748,2.966995194012613
Pleasantville (1998),3.558313509452861,15974,2.9645551140232858
"Talented Mr. Ripley, The (1999)",3.5007102711382867,16191,2.9623646222592743
Notting Hill (1999),3.456214861891958,16364,2.961588439433537
Intouchables (2011),4.127532601488249,13573,2.9425008474165244
"Wedding Singer, The (1998)",3.387289368408292,16498,2.937573765878007
"Honey, I Shrunk the Kids (1989)",2.7076919062777227,19163,2.9295831570114332
"Mask of Zorro, The (1998)",3.2736532636455427,16837,2.918085019383751
Sherlock Holmes (2009),3.7600833557407904,14876,2.9146964904701598
Some Like It Hot (1959),4.0312295499163815,13753,2.9077172111965677
Con Air (1997),3.195813817330211,17080,2.906572356499217
Hot Fuzz (2007),3.8469643229709996,14379,2.889106101823316
Bowling for Columbine (2002),3.716496232508073,14864,2.883039300336708
Dragonheart (1996),3.219654209494385,16831,2.880375290441871
Magnolia (1999),3.858635439310006,14261,2.876945029035421
10 Things I Hate About You (1999),3.525731519507187,15584,2.8760167431153367
"Lost World: Jurassic Park, The (1997)",2.995363040036191,17684,2.87321869919383
Moulin Rouge (2001),3.5342227378190256,15516,2.870208180941971
Cool Hand Luke (1967),4.077929380013495,13339,2.868958444585448
Pinocchio (1940),3.446093601970568,15833,2.864303719107842
M*A*S*H (a.k.a. MASH) (1970),3.873521705261667,14121,2.8632226789531874
Glory (1989),3.9336745728498306,13871,2.861526862957011
How to Train Your Dragon (2010),3.9204774230658614,13908,2.8588600468707366
Harry Potter and the Deathly Hallows: Part 1 (2010),3.8795802205620777,14055,2.8561018039834476
Planet of the Apes (1968),3.6033969010727054,15102,2.8467189802914494
Harry Potter and the Half-Blood Prince (2009),3.8486716259298617,14115,2.8453174172044906
Inside Out (2015),3.9604290211582107,13659,2.8436092954342165
Fantasia (1940),3.686136595310907,14715,2.837043528124712
Harry Potter and the Order of the Phoenix (2007),3.7747578228447973,14349,2.834939583531382
Romancing the Stone (1984),3.4691099813372803,15539,2.829885096093908
Robin Hood: Men in Tights (1993),3.065161591412904,17142,2.8283604299398304
Gran Torino (2008),3.923802559414991,13675,2.82144861742041
The Devil's Advocate (1997),3.5352941176470587,15215,2.819687812447763
Wayne's World (1992),3.4483224933994463,15529,2.814059009675008
Army of Darkness (1993),3.7110564940459705,14444,2.807834180996081
"Postman, The (Postino, Il) (1994)",3.964109650433224,13388,2.7999695123181936
Lethal Weapon 2 (1989),3.3167460516420157,15956,2.797364084072007
Star Trek IV: The Voyage Home (1986),3.4620512486992716,15376,2.7973368396890637
"40-Year-Old Virgin, The (2005)",3.4618118966866684,15332,2.789682774474376
"Rocky Horror Picture Show, The (1975)",3.339834365912252,15818,2.7895549097441283
"Great Escape, The (1963)",4.101113900219643,12748,2.7840868126240075
Love Actually (2003),3.7422029353655093,14172,2.782685026444125
"Social Network, The (2010)",3.764984002843939,14065,2.7799451646368
From Dusk Till Dawn (1996),3.315466784653309,15821,2.773509808843238
Field of Dreams (1989),3.6205795509167067,14563,2.76662306783991
Black Hawk Down (2001),3.6863179357378892,14223,2.753398769148783
Black Swan (2010),3.7891430646332607,13770,2.746132645593873
Harry Potter and the Deathly Hallows: Part 2 (2011),3.9114009953249886,13262,2.7427052982714644
"Last of the Mohicans, The (1992)",3.7112019914651495,14060,2.742553159514857
Dark City (1998),3.799598686610726,13705,2.742169523603889
Singin' in the Rain (1952),4.02520712834141,12794,2.740346013784486
Goldfinger (1964),3.726192181011027,13966,2.7367333817286026
"Others, The (2001)",3.7078547478062354,14017,2.7329577831103924
Naked Gun 33 1/3: The Final Insult (1994),2.9668967958930783,16947,2.7283964060328896
Jackie Brown (1997),3.688104379977247,14064,2.7275411646499603
Sabrina (1995),3.371348277890334,15301,2.722941700227105
Alien³ (a.k.a. Alien 3) (1992),3.1072853372614007,16293,2.712429428635043
Three Kings (1999),3.581133648235621,14396,2.7113892014146717
"Time to Kill, A (1996)",3.691694781422726,13931,2.7073359715494547
Chocolat (2000),3.6846407572063673,13946,2.7050972106960303
"Deer Hunter, The (1978)",3.96836678903382,12803,2.70325975338225
Gone Girl (2014),3.9335840570719602,12896,2.6954617738865063
Zombieland (2009),3.766509259942448,13553,2.693808290927564
Phenomenon (1996),3.4668633835300504,14742,2.6926614130840747
Bruce Almighty (2003),3.2100355239786857,15764,2.6921726206198735
"Birds, The (1963)",3.729735666691074,13657,2.686530536646651
Deadpool (2016),3.859245139153641,13115,2.682241206267801
Thelma & Louise (1991),3.5877068892346866,14138,2.6719281047825585
Serenity (2005),3.9839996807916367,12531,2.667570345348001
"Italian Job, The (2003)",3.5513504033672394,14255,2.667147123820702
"Good Morning, Vietnam (1987)",3.6664973882762624,13784,2.6651880639009438
"Grand Budapest Hotel, The (2014)",4.0132407556919105,12386,2.6627496739246346
